Song,Artist,Genre,LastPlay,Tempo,TimesPlayed,To-play,Tone,link
Eres Todopoderoso,Danilo Montero,Alabanza,"January 11, 2026",125,2,No,G,https://youtu.be/ZS7st5oNSWU?si=cBTdmBE8dB-LBaGS
Oh Moradora de Sión,Jaime Murrel,Alabanza,"December 28, 2025",135,2,No,C-,https://www.youtube.com/watch?v=9d0izkup40g
Más El Dios de toda Gracia/Quiero Levantar mis manos,Marcos Witt,Adoración,"November 2, 2025",62,2,No,A,https://youtu.be/tI70aR3lBIY?si=q0dgd4LqUBVi2Hpy
Dios el Más grande,Juan Carlos Alvarado,Adoración,"November 30, 2025",60,3,No,Bb,https://www.youtube.com/watch?v=MMGUo2xmmEY
En Alta voz,New Wine,Alabanza,"November 2, 2025",140,3,No,Bb,https://youtu.be/p4sEPZNHBb4?si=2zGm5ALvFtsCJzKd
"Enamórame ",Abel Zavala,Adoración,"November 2, 2025",62,2,No,G,https://youtu.be/PcxOm1SMsNo?si=KNJBBk-ddKesGBZl
"Venció ",Marcos Witt,Alabanza,"November 9, 2025",130,2,No,C#-,https://youtu.be/PH5lknwUIME?si=fc5FTx7ZSSYikszR
La Bondad De Dios,Church Of The City,Adoración,"March 15, 2026",68,4,No,G,https://youtu.be/SnIzImY9wO4?si=saYxQYKU_jmzUEwh
Mi Dios Es Bueno,New Wine,Alabanza,"November 9, 2025",160,4,No,Eb,https://youtu.be/HLgUQxIiVEA?si=v27nEXkS-44gwnpu
Tu Nombre Es Dios,Marcos Witt,Alabanza,"November 16, 2025",125,3,No,A,https://youtu.be/w0c05mQz_Kk?si=QL9OV0Wu-Au78jse
"Por el poder de tu amor ",Ingrid Rosario,Adoración,"November 16, 2025",65,4,Yes,G,https://youtu.be/Tssk5UWxvuw?si=6Tu8AYIb3SCKbHuL
"poderoso ",Marcos Witt,Alabanza,"March 8, 2026",98,3,No,A-,https://www.youtube.com/watch?v=JHJOlNAsz3s
Preciosa Sangre,Marco Barrientos,Adoración,"May 10, 2026",70,3,No,A,https://www.youtube.com/watch?v=6gO9rCFJ1wk
"Tú mereces gloria ",Juan Carlos Alvarado,Alabanza,"March 22, 2026",120,3,Yes,D,https://youtu.be/443LjjL_1bs?si=dhpO4c2zrWY1KQXu
Vamos A Cantar,En Espíritu y En Verdad,Alabanza,"November 23, 2025",148,4,No,Eb,https://youtu.be/HSQzeIaPgIg?si=1yxgad7tQOeVkP4K
Agradecido,Miel San Marcos,Alabanza,"February 1, 2026",146,3,No,C-,https://youtu.be/hOZwYdGVqBs?si=58EAlAVgbTc3Gqw8
Mi Dios,Miel San Marcos,Adoración,,,3,No,F,https://youtu.be/3Z73vLnbpHE?si=L9-XkRu7j9vxda0q
Cristo yo te amo,En Espíritu y En Verdad,Adoración,"January 11, 2026",58,2,No,G,https://youtu.be/aph2vPicNhQ?si=0qVIn-Sv-EjAyD0D
Quiero Agradecerte,Abel Zavala,Adoración,"April 12, 2026",60,2,No,C,https://youtu.be/5ZbuVaEqLxs?si=vi4HvuBt61Eh8F6Z
Por las llagas,Vino Nuevo,Adoración,"March 8, 2026",60,3,No,A,https://youtu.be/6ldgQXB35qU?si=4nKVfYN7xsi4DWrQ
Abre Mis Ojos,Danilo Montero,Alabanza,"December 7, 2025",128,3,No,A,https://youtu.be/ny3zy3gnthM?si=AWnZrtYGqy902GQk
Bueno es Alabar,Danilo Montero,Alabanza,"December 7, 2025",120,1,No,G,https://youtu.be/Br6--RiH8XE?si=ts_kui85hwXlgb3m
Tu Mirada,Marcos Witt,Adoración,"December 7, 2025",54,3,No,A,https://youtu.be/YNou3YGzP_M?si=pQT99szGgayPb1it
Fiesta,Miel San Marcos,Alabanza,"April 19, 2026",155,6,No,C-,https://youtu.be/NVtVI4bd0qU?si=KLpqJdZ8iMZGDv--
Renuévame,Marcos Witt,Adoración,"December 21, 2025",60,2,No,,https://www.youtube.com/watch?v=tReaOADu6ho
Bienvenido Espíritu Santo,Miel San Marcos,Alabanza,"March 29, 2026",98,1,No,A-,https://www.youtube.com/watch?v=8FNTUOSi-YE&pp=ygUZYmllbnZlbmlkbyBlc3Bpcml0dSBzYW50bw%3D%3D
Los muros Caerán,Miel San Marcos,Alabanza,"December 21, 2025",152,1,No,C-,https://www.youtube.com/watch?v=PZ80mblbzss
Te Doy Gloria,En Espíritu y En Verdad,Alabanza,"December 21, 2025",136,1,No,C,https://youtu.be/rmqrou5xDpo?si=DmmXnZoNvHKIdRTb
"Deleite ",Yashira Guidini,Adoración,"March 22, 2026",55,2,No,,https://www.youtube.com/watch?v=exVlV7lNRk8
"Hossana ",Marco Barrientos,Alabanza,"December 28, 2025",146,6,No,"B- ",https://youtu.be/RHZTk79wAL4?si=v3ioNRKC36rKO0Zt
"Óleo de Alegría ",Miel San Marcos,Alabanza,"December 28, 2025",153,1,No,C-,https://youtu.be/1TuOGJkKqWA?si=USdQS1-xw1QmA_hg
"Júbilo ",Miel San Marcos,Alabanza,"January 11, 2026",135,1,No,D,https://youtu.be/QpUU0KGYYUY?si=iTeqr9qzEFPD6YFC
Dios de Generaciones,Abel Zavala,Adoración,"April 19, 2026",69,3,No,C,https://youtu.be/ugRhso5yQ-0?si=H0KAPovUry5_uWnw
"Él es Rey ",Danilo Montero,Alabanza,"January 18, 2026",134,4,No,E-,https://youtu.be/3I0ovvz_l2Y?si=GXgDaos0BeyAeB5P
Dios incomparable,Generación 12,Adoración,"January 11, 2026",78,1,No,B,https://youtu.be/RS-Ql-6mCCk?si=KqNzxliz8cGBB9Pi
Tú Nombre oh Dios,Marcos Witt,Alabanza,"January 18, 2026",130,2,No,G,https://youtu.be/w0c05mQz_Kk?si=bZuOuu4oFsuzyE0U
"La Voz de mi Amado ",Manahaim,Alabanza,"March 22, 2026",160,3,No,A-,https://www.youtube.com/watch?v=edFMVackPl4
Hermoso Eres,Marcos Witt,Adoración,"January 18, 2026",59,2,No,A,https://youtu.be/Vmt7ZfSUN6c?si=vB1k0822rcXotIOe
